timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1784745219857,39,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-303,text,true,,9312,151,151,39
1784745219871,29,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-295,text,true,,9312,151,151,29
1784745219853,52,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-339,text,true,,17251,151,151,52
1784745219863,43,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-379,text,true,,1788,151,151,43
1784745219878,37,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-244,text,true,,9312,151,151,37
1784745219867,55,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-288,text,true,,17251,150,150,55
1784745219902,25,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-292,text,true,,9312,150,150,25
1784745219898,33,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-283,text,true,,17251,149,149,33
1784745219953,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-356,text,true,,17251,150,150,16
1784745219961,14,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-287,text,true,,17251,150,150,14
1784745219959,19,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-389,text,true,,17251,150,150,19
1784745219978,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-307,text,true,,1788,150,150,10
1784745219977,13,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-387,text,true,,17251,150,150,13
1784745219990,6,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-309,text,true,,1788,150,150,6
1784745220001,7,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-374,text,true,,1788,150,150,7
1784745220025,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-270,text,true,,9312,150,150,4
1784745220064,7,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-373,text,true,,1788,150,150,7
1784745220071,6,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-320,text,true,,1788,150,150,6
1784745220079,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-249,text,true,,9312,150,150,4
1784745220087,3,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-375,text,true,,9312,149,149,3
1784745220091,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-390,text,true,,17251,149,149,16
1784745220093,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-396,text,true,,17251,149,149,16
1784745220113,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-263,text,true,,9312,149,149,5
1784745220136,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-237,text,true,,9312,148,148,4
1784745220132,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-267,text,true,,1788,147,147,10
1784745220182,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-331,text,true,,1788,148,148,9
1784745220185,11,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-318,text,true,,1788,148,148,11
1784745220192,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-272,text,true,,1788,148,148,9
1784745220206,30,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-274,text,true,,17251,148,148,30
1784745220234,24,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-305,text,true,,9312,148,148,24
1784745220218,44,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-286,text,true,,17251,148,148,44
1784745220241,28,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-377,text,true,,1788,148,148,28
1784745220255,19,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-284,text,true,,1788,148,148,19
